,Global,Very Common,Common,Low Frequency,V5
1 or more copies,57.3% (51),94.7% (18),93.3% (28),61.5% (24),29% (9)
2 or more copies,39.3% (35),89.5% (17),80% (24),35.9% (14),12.9% (4)
3 or more copies,31.5% (28),89.5% (17),73.3% (22),25.6% (10),3.23% (1)
4 or more copies,31.5% (28),89.5% (17),73.3% (22),25.6% (10),3.23% (1)
5 or more copies,30.3% (27),84.2% (16),70% (21),25.6% (10),3.23% (1)
6 or more copies,28.1% (25),79% (15),63.3% (19),23.1% (9),3.23% (1)
7 or more copies,27% (24),73.7% (14),60% (18),23.1% (9),3.23% (1)
8 or more copies,25.8% (23),73.7% (14),60% (18),20.5% (8),3.23% (1)
9 or more copies,20.2% (18),63.2% (12),50% (15),15.4% (6),0% (0)
10 or more copies,18% (16),63.2% (12),46.7% (14),10.3% (4),0% (0)
